v4_0,calendar-years,Time,uk-only,Geography,adjustment_codelist,Adjustment,freq_codelist,Freq,refarea_codelist,RefArea
43292,2011,2011,K02000001,United Kingdom,S1,S1,D613C,D613C,C,C
43719,2012,2012,K02000001,United Kingdom,S1,S1,D613C,D613C,C,C
44066,2013,2013,K02000001,United Kingdom,S1,S1,D613C,D613C,C,C
45228,2014,2014,K02000001,United Kingdom,S1,S1,D613C,D613C,C,C
47587,2015,2015,K02000001,United Kingdom,S1,S1,D613C,D613C,C,C
50407,2016,2016,K02000001,United Kingdom,S1,S1,D613C,D613C,C,C
53965,2017,2017,K02000001,United Kingdom,S1,S1,D613C,D613C,C,C
56278,2018,2018,K02000001,United Kingdom,S1,S1,D613C,D613C,C,C
43267,2011,2011,K02000001,United Kingdom,S1,S1,D613C,D613C,D,D
23,2012,2012,K02000001,United Kingdom,S1,S1,D613C,D613C,D,D
44066,2013,2013,K02000001,United Kingdom,S1,S1,D613C,D613C,D,D
45243,2014,2014,K02000001,United Kingdom,S1,S1,D613C,D613C,D,D
47576,2015,2015,K02000001,United Kingdom,S1,S1,D613C,D613C,D,D
50393,2016,2016,K02000001,United Kingdom,S1,S1,D613C,D613C,D,D
53965,2017,2017,K02000001,United Kingdom,S1,S1,D613C,D613C,D,D
56306,2018,2018,K02000001,United Kingdom,S1,S1,D613C,D613C,D,D
43292,2011,2011,K02000001,United Kingdom,S13,S13,D613C,D613C,C,C
43719,2012,2012,K02000001,United Kingdom,S13,S13,D613C,D613C,C,C
44066,2013,2013,K02000001,United Kingdom,S13,S13,D613C,D613C,C,C
45243,2014,2014,K02000001,United Kingdom,S13,S13,D613C,D613C,C,C
47576,2015,2015,K02000001,United Kingdom,S13,S13,D613C,D613C,C,C
50407,2016,2016,K02000001,United Kingdom,S13,S13,D613C,D613C,C,C
53965,2017,2017,K02000001,United Kingdom,S13,S13,D613C,D613C,C,C
56306,2018,2018,K02000001,United Kingdom,S13,S13,D613C,D613C,C,C
43292,2011,2011,K02000001,United Kingdom,S1311,S1311,D613C,D613C,C,C
43742,2012,2012,K02000001,United Kingdom,S1311,S1311,D613C,D613C,C,C
44085,2013,2013,K02000001,United Kingdom,S1311,S1311,D613C,D613C,C,C
45243,2014,2014,K02000001,United Kingdom,S1311,S1311,D613C,D613C,C,C
47576,2015,2015,K02000001,United Kingdom,S1311,S1311,D613C,D613C,C,C
14,2016,2016,K02000001,United Kingdom,S1311,S1311,D613C,D613C,C,C
53983,2017,2017,K02000001,United Kingdom,S1311,S1311,D613C,D613C,C,C
56306,2018,2018,K02000001,United Kingdom,S1311,S1311,D613C,D613C,C,C
43292,2011,2011,K02000001,United Kingdom,S14,S14,D613C,D613C,D,D
43742,2012,2012,K02000001,United Kingdom,S14,S14,D613C,D613C,D,D
19,2013,2013,K02000001,United Kingdom,S14,S14,D613C,D613C,D,D
15,2014,2014,K02000001,United Kingdom,S14,S14,D613C,D613C,D,D
47587,2015,2015,K02000001,United Kingdom,S14,S14,D613C,D613C,D,D
50393,2016,2016,K02000001,United Kingdom,S14,S14,D613C,D613C,D,D
53983,2017,2017,K02000001,United Kingdom,S14,S14,D613C,D613C,D,D
56306,2018,2018,K02000001,United Kingdom,S14,S14,D613C,D613C,D,D
43267,2011,2011,K02000001,United Kingdom,S1M,S1M,D613C,D613C,D,D
43742,2012,2012,K02000001,United Kingdom,S1M,S1M,D613C,D613C,D,D
44085,2013,2013,K02000001,United Kingdom,S1M,S1M,D613C,D613C,D,D
45243,2014,2014,K02000001,United Kingdom,S1M,S1M,D613C,D613C,D,D
47587,2015,2015,K02000001,United Kingdom,S1M,S1M,D613C,D613C,D,D
50393,2016,2016,K02000001,United Kingdom,S1M,S1M,D613C,D613C,D,D
53983,2017,2017,K02000001,United Kingdom,S1M,S1M,D613C,D613C,D,D
56278,2018,2018,K02000001,United Kingdom,S1M,S1M,D613C,D613C,D,D
25,2011,2011,K02000001,United Kingdom,S2,S2,D613C,D613C,D,D
43742,2012,2012,K02000001,United Kingdom,S2,S2,D613C,D613C,D,D
44085,2013,2013,K02000001,United Kingdom,S2,S2,D613C,D613C,D,D
45243,2014,2014,K02000001,United Kingdom,S2,S2,D613C,D613C,D,D
47587,2015,2015,K02000001,United Kingdom,S2,S2,D613C,D613C,D,D
50407,2016,2016,K02000001,United Kingdom,S2,S2,D613C,D613C,D,D
53983,2017,2017,K02000001,United Kingdom,S2,S2,D613C,D613C,D,D
56278,2018,2018,K02000001,United Kingdom,S2,S2,D613C,D613C,D,D
75472,2011,2011,K02000001,United Kingdom,S1,S1,D614,D614,C,C
65766,2012,2012,K02000001,United Kingdom,S1,S1,D614,D614,C,C
63260,2013,2013,K02000001,United Kingdom,S1,S1,D614,D614,C,C
79242,2014,2014,K02000001,United Kingdom,S1,S1,D614,D614,C,C
72391,2015,2015,K02000001,United Kingdom,S1,S1,D614,D614,C,C
75297,2016,2016,K02000001,United Kingdom,S1,S1,D614,D614,C,C
66196,2017,2017,K02000001,United Kingdom,S1,S1,D614,D614,C,C
66294,2018,2018,K02000001,United Kingdom,S1,S1,D614,D614,C,C
75472,2011,2011,K02000001,United Kingdom,S1,S1,D614,D614,D,D
65766,2012,2012,K02000001,United Kingdom,S1,S1,D614,D614,D,D
63260,2013,2013,K02000001,United Kingdom,S1,S1,D614,D614,D,D
79242,2014,2014,K02000001,United Kingdom,S1,S1,D614,D614,D,D
72391,2015,2015,K02000001,United Kingdom,S1,S1,D614,D614,D,D
75297,2016,2016,K02000001,United Kingdom,S1,S1,D614,D614,D,D
66196,2017,2017,K02000001,United Kingdom,S1,S1,D614,D614,D,D
66294,2018,2018,K02000001,United Kingdom,S1,S1,D614,D614,D,D
75472,2011,2011,K02000001,United Kingdom,S12,S12,D614,D614,C,C
65766,2012,2012,K02000001,United Kingdom,S12,S12,D614,D614,C,C
63260,2013,2013,K02000001,United Kingdom,S12,S12,D614,D614,C,C
79242,2014,2014,K02000001,United Kingdom,S12,S12,D614,D614,C,C
72391,2015,2015,K02000001,United Kingdom,S12,S12,D614,D614,C,C
75297,2016,2016,K02000001,United Kingdom,S12,S12,D614,D614,C,C
66196,2017,2017,K02000001,United Kingdom,S12,S12,D614,D614,C,C
66294,2018,2018,K02000001,United Kingdom,S12,S12,D614,D614,C,C
75472,2011,2011,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
65766,2012,2012,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
63260,2013,2013,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
79242,2014,2014,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
72391,2015,2015,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
75297,2016,2016,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
66196,2017,2017,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
66294,2018,2018,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
75472,2011,2011,K02000001,United Kingdom,S14,S14,D614,D614,D,D
65766,2012,2012,K02000001,United Kingdom,S14,S14,D614,D614,D,D
63260,2013,2013,K02000001,United Kingdom,S14,S14,D614,D614,D,D
79242,2014,2014,K02000001,United Kingdom,S14,S14,D614,D614,D,D
72391,2015,2015,K02000001,United Kingdom,S14,S14,D614,D614,D,D
75297,2016,2016,K02000001,United Kingdom,S14,S14,D614,D614,D,D
66196,2017,2017,K02000001,United Kingdom,S14,S14,D614,D614,D,D
66294,2018,2018,K02000001,United Kingdom,S14,S14,D614,D614,D,D
75472,2011,2011,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
65766,2012,2012,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
63260,2013,2013,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
79242,2014,2014,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
72391,2015,2015,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
75297,2016,2016,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
66196,2017,2017,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
66294,2018,2018,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
0,2011,2011,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2012,2012,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2013,2013,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2014,2014,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2015,2015,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2016,2016,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2017,2017,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2018,2018,K02000001,United Kingdom,S2,S2,D614,D614,D,D
